CO_IES,NO_IES,SG_IES,TP_CATEGORIA_ADMINISTRATIVA,TP_ORGANIZACAO_ACADEMICA,REGIAO
1558,Faculdade Doctum de João Monlevade,DOCTUM,Privada sem fins lucrativos,Faculdade,Sudeste
1243,Faculdade Doctum de Serra,DOCTUM,Privada sem fins lucrativos,Faculdade,Sudeste
5370,Centro Universitário Doctum de Teófilo Otoni,UNIDOCTUM,Privada sem fins lucrativos,Centro Universitário,Sudeste
1909,FACULDADES DOCTUM DE IPATINGA,,Privada sem fins lucrativos,Faculdade,Sudeste
1568,FACULDADES DOCTUM DE CARATINGA,DOCTUM,Privada sem fins lucrativos,Faculdade,Sudeste
5314,Faculdades Doctum de Guarapari,DOCTUM,Privada sem fins lucrativos,Faculdade,Sudeste
2096,FACULDADE DOCTUM DE MANHUAÇU - DOCTUM,FCM,Privada sem fins lucrativos,Faculdade,Sudeste
1926,FACULDADE DE ADMINISTRAÇÃO DE CATAGUASES,UNIPACAT,Privada sem fins lucrativos,Faculdade,Sudeste
21812,Faculdade Regional de Leopoldina,,Privada sem fins lucrativos,Faculdade,Sudeste
1254,FACULDADE DE ADMINISTRAÇÃO DE ITABIRITO,FAI,Privada sem fins lucrativos,Faculdade,Sudeste
307,FACULDADE DE MEDICINA DE BARBACENA,FAME,Privada sem fins lucrativos,Faculdade,Sudeste
14151,Faculdade Presidente Antônio Carlos de Nova Lima,,Privada sem fins lucrativos,Faculdade,Sudeste
14248,Faculdade Presidente Antônio Carlos de Uberlândia,,Privada sem fins lucrativos,Faculdade,Sudeste
14157,Faculdade de Educação e Estudos Sociais de Uberlândia,FEESU,Privada sem fins lucrativos,Faculdade,Sudeste
14246,Faculdade Presidente Antônio Carlos de Uberaba,,Privada sem fins lucrativos,Faculdade,Sudeste
14115,Faculdade Presidente Antônio Carlos de Ponte Nova,,Privada sem fins lucrativos,Faculdade,Sudeste
14162,Faculdade Presidente Antônio Carlos de Governador Valadares,FAPAC - GV,Privada sem fins lucrativos,Faculdade,Sudeste
308,CENTRO UNIVERSITÁRIO PRESIDENTE ANTÔNIO CARLOS,UNIPAC,Privada sem fins lucrativos,Centro Universitário,Sudeste
15453,Faculdade Presidente Antônio Carlos de Conselheiro Lafaiete,,Privada sem fins lucrativos,Faculdade,Sudeste
15357,Faculdade Presidente Antônio Carlos de Ubá,,Privada sem fins lucrativos,Faculdade,Sudeste
15467,Faculdade Presidente Antônio Carlos de Visconde do Rio Branco,,Privada sem fins lucrativos,Faculdade,Sudeste
15468,Faculdade Presidente Antônio Carlos de Leopoldina,,Privada sem fins lucrativos,Faculdade,Sudeste
14206,Faculdade Presidente Antônio Carlos de Elói Mendes,,Privada sem fins lucrativos,Faculdade,Sudeste
14155,Faculdade Presidente Antônio Carlos de Sabará,FUNEES Sabará,Privada sem fins lucrativos,Faculdade,Sudeste
14101,Faculdade Presidente Antônio Carlos de Baependi,FAPAC BAEPENDI,Privada sem fins lucrativos,Faculdade,Sudeste
14148,Faculdade Presidente Antônio Carlos de Mariana,FAPAM,Privada sem fins lucrativos,Faculdade,Sudeste
14133,Faculdade Presidente Antônio Carlos de Lambari,FAPAC LAMBARI,Privada sem fins lucrativos,Faculdade,Sudeste
14147,Faculdade Presidente Antônio Carlos de Barão de Cocais,,Privada sem fins lucrativos,Faculdade,Sudeste
14132,Faculdade Presidente Antônio Carlos de Itanhandu,FAPACI,Privada sem fins lucrativos,Faculdade,Sudeste
14243,Faculdade Presidente Antônio Carlos de Itabirito,,Privada sem fins lucrativos,Faculdade,Sudeste
14121,Faculdade Presidente Antônio Carlos de São João Nepomuceno,,Privada sem fins lucrativos,Faculdade,Sudeste
1624,FACULDADE MARECHAL RONDON,FMR,Privada sem fins lucrativos,Faculdade,Sudeste
22316,FACULDADE NOVE DE JULHO MAUÁ,NOVE_MAUÁ,Privada sem fins lucrativos,Faculdade,Sudeste
316,UNIVERSIDADE NOVE DE JULHO,UNINOVE,Privada sem fins lucrativos,Universidade,Sudeste
22312,FACULDADE NOVE DE JULHO DE OSASCO,NOVE-OSASCO,Privada sem fins lucrativos,Faculdade,Sudeste
321,FACULDADE UNIDAS DE TATUI,FDT,Privada sem fins lucrativos,Faculdade,Sudeste
1128,UNIVERSIDADE DE ITAÚNA,UI,Privada sem fins lucrativos,Universidade,Sudeste
4722,FACULDADES INTEGRADAS VIANNA JÚNIOR,FIVJ,Privada com fins lucrativos,Faculdade,Sudeste
1221,FACULDADE GAMMON,,Privada sem fins lucrativos,Faculdade,Sudeste
330,UNIVERSIDADE IGUAÇU,UNIG,Privada sem fins lucrativos,Universidade,Sudeste
1846,CENTRO UNIVERSITÁRIO DE LINS,UNILINS,Privada sem fins lucrativos,Centro Universitário,Sudeste
336,FACULDADE MACHADO SOBRINHO,FMS,Privada sem fins lucrativos,Faculdade,Sudeste
1825,FACULDADE DE ESTUDOS SUPERIORES DE MINAS GERAIS,FEAD,Privada sem fins lucrativos,Faculdade,Sudeste
1139,FACULDADE DE ESTUDOS ADMINISTRATIVOS DE MINAS GERAIS - FEAD-MG,FEAD - MG,Privada sem fins lucrativos,Faculdade,Sudeste
1860,FACULDADE DE CIÊNCIAS GERENCIAIS PADRE ARNALDO JANSSEN,FAJANSSEN,Privada sem fins lucrativos,Faculdade,Sudeste
1923,FACULDADE DE DIREITO PADRE ARNALDO JANSSEN,FAJANSSEN,Privada sem fins lucrativos,Faculdade,Sudeste
337,CENTRO DE ENSINO SUPERIOR DE JUIZ DE FORA,CES/JF,Privada sem fins lucrativos,Faculdade,Sudeste
338,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PUC MINAS,Privada sem fins lucrativos,Universidade,Sudeste
343,CENTRO UNIVERSITÁRIO NEWTON PAIVA,NEWTON PAIVA,Privada com fins lucrativos,Centro Universitário,Sudeste
345,ESCOLA DE ENGENHARIA KENNEDY,EEK,Privada sem fins lucrativos,Faculdade,Sudeste
346,INSTITUTO SUPERIOR DE CIÊNCIAS APLICADAS - ISCA,ISCA,Privada sem fins lucrativos,Faculdade,Sudeste
351,FACULDADE DE CIÊNCIAS MÉDICAS DE MINAS GERAIS,FCMMG,Privada sem fins lucrativos,Faculdade,Sudeste
352,CENTRO UNIVERSITÁRIO DE JOÃO PESSOA,UNIPÊ,Privada com fins lucrativos,Centro Universitário,Nordeste
355,UNIVERSIDADE TUIUTI DO PARANÁ,UTP,Privada com fins lucrativos,Universidade,Sul
360,CENTRO UNIVERSITÁRIO PAULISTANO,UNIPAULISTANA,Privada sem fins lucrativos,Centro Universitário,Sudeste
363,FACULDADE MOZARTEUM DE SÃO PAULO,FAMOSP,Privada sem fins lucrativos,Faculdade,Sudeste
1450,CENTRO UNIVERSITÁRIO DO CERRADO-PATROCÍNIO,UNICERP,Privada sem fins lucrativos,Centro Universitário,Sudeste
367,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,Pública Estadual,Universidade,Sudeste
368,FACULDADE DE EDUCAÇÃO FÍSICA DA ASSOCIAÇÃO CRISTÃ DE MOÇOS DE SOROCABA,FEFISO,Privada sem fins lucrativos,Faculdade,Sudeste
3177,FACULDADE DE ADMINISTRAÇÃO DA FESPSP,FADFESPSP,Privada sem fins lucrativos,Faculdade,Sudeste
372,FACULDADE DE BIBLIOTECONOMIA E CIÊNCIA DA INFORMAÇÃO,FABCI,Privada sem fins lucrativos,Faculdade,Sudeste
373,ESCOLA DE SOCIOLOGIA E POLÍTICA DE SÃO PAULO,ESP,Privada sem fins lucrativos,Faculdade,Sudeste
2556,FIAM-FAAM - CENTRO UNIVERSITÁRIO,UNIFIAM-FAAM,Privada sem fins lucrativos,Centro Universitário,Sudeste
374,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,FMU,Privada sem fins lucrativos,Centro Universitário,Sudeste
985,FACULDADE EVANGÉLICA DE RUBIATABA,FER,Privada com fins lucrativos,Faculdade,Centro-Oeste
3389,FACULDADE EVANGÉLICA RAÍZES,RAÍZES,Privada sem fins lucrativos,Faculdade,Centro-Oeste
3789,FACULDADE EVANGÉLICA DE GOIANÉSIA,,Privada sem fins lucrativos,Faculdade,Centro-Oeste
4113,FACULDADE EVANGÉLICA DE CERES,FACER,Privada com fins lucrativos,Faculdade,Centro-Oeste
15173,FACULDADE EVANGÉLICA DE JARAGUÁ,FEJA,Privada com fins lucrativos,Faculdade,Centro-Oeste
384,CENTRO UNIVERSITÁRIO DE ANÁPOLIS,UNIEVANGÉLICA,Privada sem fins lucrativos,Centro Universitário,Centro-Oeste
17680,FACULDADE EVANGÉLICA DE SENADOR CANEDO,FESC,Privada sem fins lucrativos,Faculdade,Centro-Oeste
385,UNIVERSIDADE SALVADOR,UNIFACS,Privada com fins lucrativos,Universidade,Nordeste
386,CENTRO UNIVERSITÁRIO DE GOIÁS,UNI-ANHANGÜERA,Privada com fins lucrativos,Centro Universitário,Centro-Oeste
387,UNIVERSIDADE CATÓLICA DOM BOSCO,UCDB,Privada sem fins lucrativos,Universidade,Centro-Oeste
1155,FACULDADE SALESIANA DE SANTA TERESA,FSST,Privada sem fins lucrativos,Faculdade,Centro-Oeste
4522,CENTRO UNIVERSITÁRIO CATÓLICO SALESIANO AUXILIUM,UNISALESIANO,Privada sem fins lucrativos,Centro Universitário,Sudeste
1355,FACULDADES INTEGRADAS DE JAHU,FIJ,Privada sem fins lucrativos,Faculdade,Sudeste
396,Centro Universitário Ruy Barbosa Wyden,UniRuy Wyden,Privada com fins lucrativos,Centro Universitário,Nordeste
1709,Centro Universitário Tiradentes de Pernambuco,UNIT PE,Privada com fins lucrativos,Centro Universitário,Nordeste
398,UNIVERSIDADE TIRADENTES,UNIT,Privada com fins lucrativos,Universidade,Nordeste
22514,FACULDADE TIRADENTES DE JABOATÃO DOS GUARARAPES,,Privada com fins lucrativos,Faculdade,Nordeste
4530,CENTRO UNIVERSITÁRIO TIRADENTES,FITS,Privada com fins lucrativos,Centro Universitário,Nordeste
399,ESCOLA DE ENGENHARIA DE AGRIMENSURA,EEA,Privada sem fins lucrativos,Faculdade,Nordeste
4420,FACULDADES INTEGRADAS BARROS MELO,FIBAM,Privada com fins lucrativos,Faculdade,Nordeste
402,CENTRO UNIVERSITÁRIO DE BRASÍLIA,UNICEUB,Privada sem fins lucrativos,Centro Universitário,Centro-Oeste
878,Centro Universitário Católica do Leste de Minas Gerais,UNILESTE,Privada sem fins lucrativos,Centro Universitário,Sudeste
2723,FACULDADE CATÓLICA IMACULADA CONCEIÇÃO DO RECIFE,CATÓLICA,Privada sem fins lucrativos,Faculdade,Nordeste
403,UNIVERSIDADE CATÓLICA DE BRASÍLIA,UCB,Privada sem fins lucrativos,Universidade,Centro-Oeste
2365,CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS,UNICATÓLICA,Privada sem fins lucrativos,Centro Universitário,Norte
404,FACULDADES INTEGRADAS DA UPIS,UPIS,Privada sem fins lucrativos,Faculdade,Centro-Oeste
405,FOCCA - FACULDADE DE OLINDA,FOCCA,Privada sem fins lucrativos,Faculdade,Nordeste
409,UNIVERSIDADE DE PERNAMBUCO,UPE,Pública Estadual,Universidade,Nordeste
410,FACULDADE DE CIÊNCIAS HUMANAS ESUDA,FCHE,Privada sem fins lucrativos,Faculdade,Nordeste
415,FACULDADE DE CIÊNCIAS MÉDICAS DA SANTA CASA SÃO PAULO,FCMSCSP,Privada sem fins lucrativos,Faculdade,Sudeste
417,UNIVERSIDADE CIDADE DE SÃO PAULO,UNICID,Privada com fins lucrativos,Universidade,Sudeste
1224,CENTRO UNIVERSITÁRIO DE JALES,UNIJALES,Privada sem fins lucrativos,Centro Universitário,Sudeste
420,UNIVERSIDADE DE MARÍLIA,UNIMAR,Privada com fins lucrativos,Universidade,Sudeste
423,UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,URI,Privada sem fins lucrativos,Universidade,Sul
1842,FACULDADES INTEGRADAS MACHADO DE ASSIS,FEMA,Privada sem fins lucrativos,Faculdade,Sul
426,UNIVERSIDADE FRANCISCANA,UFN,Privada sem fins lucrativos,Universidade,Sul
3529,CENTRO UNIVERSITÁRIO EURÍPEDES DE MARÍLIA,UNIVEM,Privada sem fins lucrativos,Centro Universitário,Sudeste
430,CENTRO UNIVERSITÁRIO FILADÉLFIA,UNIFIL,Privada sem fins lucrativos,Centro Universitário,Sul
431,FACULDADE DE MEDICINA DE MARÍLIA,FAMEMA,Pública Estadual,Faculdade,Sudeste
432,FACULDADE PARANAENSE,FACCAR,Privada sem fins lucrativos,Faculdade,Sul
434,FACULDADE SANTA MARCELINA,FASM,Privada sem fins lucrativos,Faculdade,Sudeste
435,FACULDADE SANTA MARCELINA MURIAÉ - FASM,FASM,Privada sem fins lucrativos,Faculdade,Sudeste
4010,CENTRO UNIVERSITÁRIO METODISTA,IPA,Privada sem fins lucrativos,Centro Universitário,Sul
437,UNIVERSIDADE PARANAENSE,UNIPAR,Privada sem fins lucrativos,Universidade,Sul
439,FACULDADE DOUTOR FRANCISCO MAEDA,FAFRAM,Privada sem fins lucrativos,Faculdade,Sudeste
22175,Faculdade  São Joaquim da Barra,,Privada sem fins lucrativos,Faculdade,Sudeste
438,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ITUVERAVA,FFCL,Privada sem fins lucrativos,Faculdade,Sudeste
440,FACULDADE DE DIREITO DE ITÚ,FADITU,Privada com fins lucrativos,Faculdade,Sudeste
441,UNIVERSIDADE DO CONTESTADO,UNC,Privada sem fins lucrativos,Universidade,Sul
4793,FACULDADES INTEGRADAS DE ITARARÉ,FAFIT-FACIC,Privada com fins lucrativos,Faculdade,Sudeste
446,UNIVERSIDADE DE CRUZ ALTA,UNICRUZ,Privada sem fins lucrativos,Universidade,Sul
448,CENTRO UNIVERSITÁRIO RITTER DOS REIS,UNIRITTER,Privada com fins lucrativos,Centro Universitário,Sul
5317,FACULDADE PORTO-ALEGRENSE,FAPA,Privada sem fins lucrativos,Faculdade,Sul
453,CENTRO UNIVERSITÁRIO LUTERANO DE PALMAS,CEULP,Privada sem fins lucrativos,Centro Universitário,Norte
452,CENTRO UNIVERSITÁRIO LUTERANO DE MANAUS,CEULM/ULBRA,Privada sem fins lucrativos,Centro Universitário,Norte
449,UNIVERSIDADE LUTERANA DO BRASIL,ULBRA,Privada sem fins lucrativos,Universidade,Sul
1426,INSTITUTO LUTERANO DE ENSINO SUPERIOR DE ITUMBIARA,ILES,Privada sem fins lucrativos,Faculdade,Centro-Oeste
451,CENTRO UNIVERSITÁRIO LUTERANO DE SANTARÉM,CEULS,Privada sem fins lucrativos,Centro Universitário,Norte
454,FACULDADE CAMAQÜENSE DE CIÊNCIAS CONTÁBEIS E ADMINISTRATIVAS,FACCCA,Privada sem fins lucrativos,Faculdade,Sul
456,CENTRO UNIVERSITÁRIO SANT¿ANNA,UNISANT'ANNA,Privada sem fins lucrativos,Centro Universitário,Sudeste
461,FACULDADE ARMANDO ALVARES PENTEADO,FA-FAAP,Privada sem fins lucrativos,Faculdade,Sudeste
466,UNIVERSIDADE ANHEMBI MORUMBI,UAM,Privada com fins lucrativos,Universidade,Sudeste
2565,ABEU - CENTRO UNIVERSITÁRIO,UNIABEU,Privada sem fins lucrativos,Centro Universitário,Sudeste
1419,CENTRO UNIVERSITÁRIO CURITIBA,UNICURITIBA,Privada com fins lucrativos,Centro Universitário,Sul
472,UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY,UNIGRANRIO,Privada com fins lucrativos,Universidade,Sudeste
474,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DOM BOSCO,FFCLDB,Privada sem fins lucrativos,Faculdade,Sudeste
473,"FACULDADE DE CIÊNCIAS ECONÔMICAS, ADMINISTRATIVAS E DA COMPUTAÇÃO DOM BOSCO",FCEACDB,Privada sem fins lucrativos,Faculdade,Sudeste
1081,FACULDADE DE ENGENHARIA DE RESENDE,FER,Privada sem fins lucrativos,Faculdade,Sudeste
475,FACULDADE DE MEDICINA DE PETRÓPOLIS,FMP,Privada sem fins lucrativos,Faculdade,Sudeste
1080,FACULDADE ARTHUR SÁ EARP NETO,FASE,Privada sem fins lucrativos,Faculdade,Sudeste
1542,CENTRO UNIVERSITÁRIO GERALDO DI BIASE,UGB,Privada sem fins lucrativos,Centro Universitário,Sudeste
480,CENTRO UNIVERSITÁRIO SERRA DOS ÓRGÃOS,UNIFESO,Privada sem fins lucrativos,Centro Universitário,Sudeste
482,UNIVERSIDADE DO EXTREMO SUL CATARINENSE,UNESC,Privada sem fins lucrativos,Universidade,Sul
483,CENTRO UNIVERSITÁRIO METROPOLITANO DE SÃO PAULO,UNIMESP,Privada sem fins lucrativos,Centro Universitário,Sudeste
1189,UNIVERSIDADE DO PLANALTO CATARINENSE,UNIPLAC,Privada sem fins lucrativos,Universidade,Sul
5242,UNIVERSIDADE ESTADUAL DE ALAGOAS - UNEAL,UNEAL,Pública Estadual,Universidade,Nordeste
489,CENTRO UNIVERSITÁRIO DE VOLTA REDONDA,UNIFOA,Privada sem fins lucrativos,Centro Universitário,Sudeste
490,CENTRO UNIVERSITÁRIO DE VALENÇA,UNIFAA,Privada sem fins lucrativos,Centro Universitário,Sudeste
491,CENTRO UNIVERSITÁRIO DON DOMÊNICO,UNIDON,Privada sem fins lucrativos,Centro Universitário,Sudeste
494,UNIVERSIDADE DO SUL DE SANTA CATARINA,UNISUL,Privada sem fins lucrativos,Universidade,Sul
495,FACULDADE DE CIÊNCIAS E LETRAS DE BRAGANÇA PAULISTA,FESB,Pública Municipal,Faculdade,Sudeste
496,UNIVERSIDADE DE FRANCA,UNIFRAN,Privada com fins lucrativos,Universidade,Sudeste
1420,FACULDADES DE DRACENA,,Pública Municipal,Faculdade,Sudeste
5215,CENTRO UNIVERSITÁRIO PADRE ALBINO,,Privada sem fins lucrativos,Centro Universitário,Sudeste
501,ESCOLA SUPERIOR DE CIÊNCIAS DA SANTA CASA DE MISERICÓRDIA DE VITÓRIA,EMESCAM,Privada sem fins lucrativos,Faculdade,Sudeste
502,CENTRO UNIVERSITÁRIO SÃO JUDAS TADEU,CSJT,Privada com fins lucrativos,Centro Universitário,Sudeste
4030,CENTRO UNIVERSITÁRIO FLUMINENSE,UNIFLU,Privada sem fins lucrativos,Centro Universitário,Sudeste
506,FACULDADE DE MEDICINA DE CAMPOS,FMC,Privada sem fins lucrativos,Faculdade,Sudeste
508,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DO SUL DE MINAS - FACESM,FACESM,Privada sem fins lucrativos,Faculdade,Sudeste
510,FACULDADE WENCESLAU BRAZ,,Privada sem fins lucrativos,Faculdade,Sudeste
3875,CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL GUAXUPÉ,UNIFEG,Privada sem fins lucrativos,Centro Universitário,Sudeste
513,UNIVERSIDADE VALE DO RIO DOCE,UNIVALE,Privada sem fins lucrativos,Universidade,Sudeste
514,CENTRO UNIVERSITÁRIO DE BARRA MANSA,UBM,Privada sem fins lucrativos,Centro Universitário,Sudeste
517,FACULDADE DE EDUCAÇÃO SÃO LUÍS,FESL,Privada sem fins lucrativos,Faculdade,Sudeste
518,CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL,UDF,Privada com fins lucrativos,Centro Universitário,Centro-Oeste
519,UNIVERSIDADE CATÓLICA DO SALVADOR,UCSAL,Privada sem fins lucrativos,Universidade,Nordeste
521,UNIVERSIDADE DE MOGI DAS CRUZES,UMC,Privada com fins lucrativos,Universidade,Sudeste
522,CENTRO UNIVERSITÁRIO CELSO LISBOA,UCL,Privada sem fins lucrativos,Centro Universitário,Sudeste
526,CENTRO UNIVERSITÁRIO BRAZ CUBAS,,Privada com fins lucrativos,Centro Universitário,Sudeste
527,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS,PUC GOIÁS,Privada sem fins lucrativos,Universidade,Centro-Oeste
528,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,Privada sem fins lucrativos,Universidade,Sudeste
530,FACULDADE DE MÚSICA DO ESPÍRITO SANTO,FAMES,Pública Estadual,Faculdade,Sudeste
3515,CENTRO UNIVERSITÁRIO DA VITÓRIA DE SANTO ANTÃO,UNIVISA,Privada sem fins lucrativos,Centro Universitário,Nordeste
532,UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL,UNIJUI,Privada sem fins lucrativos,Universidade,Sul
533,FACULDADES INTEGRADAS DE ITAPETININGA,FII,Privada sem fins lucrativos,Faculdade,Sudeste
534,ESCOLA BAHIANA DE MEDICINA E SAÚDE PÚBLICA,EBMSP,Privada sem fins lucrativos,Faculdade,Nordeste
535,CENTRO UNIVERSITÁRIO DE MANDAGUARI - UNIMAN,FAFIMAN,Pública Municipal,Faculdade,Sul
546,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,PUCSP,Privada sem fins lucrativos,Universidade,Sudeste
161,CENTRO UNIVERSITÁRIO ASSUNÇÃO,UNIFAI,Privada sem fins lucrativos,Centro Universitário,Sudeste
547,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,Pública Estadual,Universidade,Sudeste
549,UNIVERSIDADE FEDERAL DO ACRE,UFAC,Pública Federal,Universidade,Norte
550,UNIVERSIDADE ESTADUAL DA PARAÍBA,UEPB,Pública Estadual,Universidade,Nordeste
3966,CENTRO UNIVERSITÁRIO DE CARATINGA,UNEC,Privada sem fins lucrativos,Centro Universitário,Sudeste
555,UNIVERSIDADE DE FORTALEZA,UNIFOR,Privada sem fins lucrativos,Universidade,Nordeste
568,UNIVERSIDADE ESTADUAL DO MARANHÃO,UEMA,Pública Estadual,Universidade,Nordeste
4016,INSTITUTO NACIONAL DE EDUCAÇÃO DE SURDOS,INES,Pública Federal,Faculdade,Sudeste
602,INSTITUTO TECNOLÓGICO DE AERONÁUTICA,ITA,Pública Federal,Faculdade,Sudeste
605,UNIVERSIDADE MUNICIPAL DE SÃO CAETANO DO SUL,USCS,Pública Municipal,Universidade,Sudeste
607,FACULDADE DE CIÊNCIAS CONTÁBEIS E ADMINISTRATIVAS DE CACHOEIRO DO ITAPEMIRIM,FACCACI,Privada sem fins lucrativos,Faculdade,Sudeste
606,FACULDADE DE DIREITO DE CACHOEIRO DO ITAPEMIRIM,FDCI,Privada sem fins lucrativos,Faculdade,Sudeste
608,"ESCOLA SUPERIOR DE CRUZEIRO ""PREFEITO HAMILTON VIEIRA MENDES""",ESEFIC,Pública Municipal,Faculdade,Sudeste
3514,FACULDADE DE CIÊNCIAS GERENCIAIS ALVES FORTES,FACE - ALFOR,Privada sem fins lucrativos,Faculdade,Sudeste
4219,INSTITUTO SUPERIOR DE EDUCAÇÃO PROFESSORA NAIR FORTES ABU-MERHY,ISEFOR,Privada sem fins lucrativos,Faculdade,Sudeste
615,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS PROFESSORA NAIR FORTES ABU-MERHY,FAFI - PRONAFOR,Privada sem fins lucrativos,Faculdade,Sudeste
3516,FACULDADE DE CIÊNCIAS DA SAÚDE ARCHIMEDES THEODORO,FAC - SAUDE ARTHE,Privada sem fins lucrativos,Faculdade,Sudeste
3432,"FACULDADES INTEGRADAS DE CIÊNCIAS HUMANAS, SAÚDE E EDUCAÇÃO DE GUARULHOS",FG,Privada sem fins lucrativos,Faculdade,Sudeste
1043,CENTRO UNIVERSITÁRIO DA FUNDAÇÃO HERMINIO OMETTO,FHO,Privada sem fins lucrativos,Centro Universitário,Sudeste
